# SIC -> FOLIO industry crosswalk (#9). Checked in on purpose: this is curation, not code,
# and a reviewer must be able to audit and correct a single row without reading Python.
#
# `sic` is a prefix. Resolution is longest-prefix-first, so a 4-digit row overrides the
# 2-digit major group it sits inside. That is how software (SIC 737x, which SIC files under
# "Services") reaches FOLIO's Information Industry, where NAICS puts it.
#
# Basis: SIC division/major-group structure mapped onto FOLIO's 21 NAICS-aligned Industry
# concepts. FOLIO's Industry branch carries NAICS references in rdfs:isDefinedBy, so the
# crosswalk is SIC -> NAICS sector -> FOLIO, not a free-hand judgement per row.
#
# Every matter enriched through this file gets is_inferred_industry = TRUE. A crosswalk is an
# inference: SIC is the SEC's own coarse self-assigned code, and a conglomerate filed under
# one code operates in several.
sic,folio_code,folio_label,basis
01,R92xsHpdHu6BJjtepuRu,Agriculture Industry,SIC division A -> NAICS 11
02,R92xsHpdHu6BJjtepuRu,Agriculture Industry,SIC division A -> NAICS 11
07,R92xsHpdHu6BJjtepuRu,Agriculture Industry,SIC division A -> NAICS 11
08,R92xsHpdHu6BJjtepuRu,Agriculture Industry,SIC division A -> NAICS 11
09,R92xsHpdHu6BJjtepuRu,Agriculture Industry,SIC division A -> NAICS 11
10,ROWsW3Tkpc2YQmbHQehntm,Mining and Natural Resources Extraction Industry,SIC division B -> NAICS 21
12,ROWsW3Tkpc2YQmbHQehntm,Mining and Natural Resources Extraction Industry,SIC division B -> NAICS 21
13,ROWsW3Tkpc2YQmbHQehntm,Mining and Natural Resources Extraction Industry,SIC division B -> NAICS 21
14,ROWsW3Tkpc2YQmbHQehntm,Mining and Natural Resources Extraction Industry,SIC division B -> NAICS 21
15,RCQY0EFoRWFu0qcub25sBj8,Construction Industry,SIC division C -> NAICS 23
16,RCQY0EFoRWFu0qcub25sBj8,Construction Industry,SIC division C -> NAICS 23
17,RCQY0EFoRWFu0qcub25sBj8,Construction Industry,SIC division C -> NAICS 23
20,RBOjgvcq6Z33XxMhTxWiiDS,Manufacturing Industry,SIC division D -> NAICS 31-33
21,RBOjgvcq6Z33XxMhTxWiiDS,Manufacturing Industry,SIC division D -> NAICS 31-33
22,RBOjgvcq6Z33XxMhTxWiiDS,Manufacturing Industry,SIC division D -> NAICS 31-33
23,RBOjgvcq6Z33XxMhTxWiiDS,Manufacturing Industry,SIC division D -> NAICS 31-33
